Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
RB1		47	44	1370	3.2%	Yes
MDC1		13	13	1370	0.9%	Yes
ARAF		12	12	1370	0.9%	Yes
PREX2		35	35	1370	2.6%	Yes
SOX17		9	9	1370	0.7%	Yes
PPP4R2		5	5	1370	0.4%	Yes
AKT2		2	2	1370	0.1%	Yes
MYC		2	2	1370	0.1%	Yes
AKT3		9	9	1370	0.7%	Yes
AKT1		6	6	1370	0.4%	Yes
DAXX		4	3	1370	0.2%	Yes
PRKCI		7	7	1370	0.5%	Yes
MEF2B		7	6	1370	0.4%	Yes
DICER1		13	13	1370	0.9%	Yes
KNSTRN		3	3	1370	0.2%	Yes
NUP93		7	7	1370	0.5%	Yes
AR		21	17	1370	1.2%	Yes
MTAP		1	1	1370	<0.1%	Yes
PRKAR1A		3	3	1370	0.2%	Yes
PRKD1		8	8	1370	0.6%	Yes
MAPKAP1		5	5	1370	0.4%	Yes
PRDM14		8	8	1370	0.6%	Yes
GATA3		7	7	1370	0.5%	Yes
BCL10		2	2	1370	0.1%	Yes
GATA2		5	5	1370	0.4%	Yes
GATA1		8	8	1370	0.6%	Yes
GRIN2A		20	19	1370	1.4%	Yes
TERT		229	225	1370	16.4%	Yes
NTHL1		1	1	1370	<0.1%	Yes
RAD21		11	11	1370	0.8%	Yes
PLCG2		12	12	1370	0.9%	Yes
NKX2-1		9	9	1370	0.7%	Yes
BARD1		3	3	1370	0.2%	Yes
LYN		4	4	1370	0.3%	Yes
CREBBP		25	22	1370	1.6%	Yes
JUN		2	2	1370	0.1%	Yes
PLK2		11	11	1370	0.8%	Yes
BRAF		53	52	1370	3.8%	Yes
H1-2		8	8	1370	0.6%	Yes
CYLD		6	6	1370	0.4%	Yes
AGO2		15	15	1370	1.1%	Yes
FAT1		44	37	1370	2.7%	Yes
REL		3	3	1370	0.2%	Yes
CDK12		21	19	1370	1.4%	Yes
EZH1		3	3	1370	0.2%	Yes
EZH2		9	9	1370	0.7%	Yes
RET		19	18	1370	1.3%	Yes
CDKN1A		23	21	1370	1.5%	Yes
SETD2		29	27	1370	2.0%	Yes
CDKN1B		11	10	1370	0.7%	Yes
CTCF		12	12	1370	0.9%	Yes
GLI1		14	14	1370	1.0%	Yes
BBC3		1	1	1370	<0.1%	Yes
MED12		22	22	1370	1.6%	Yes
NUF2		2	2	1370	0.1%	Yes
CTLA4		1	1	1370	<0.1%	Yes
